X,Y,Z
-101.714,0.0880488,-19.3845
-104.063,0.498262,-20.0501
-107.275,-2.39273,-28.4349
-102.224,-1.77501,-19.9187
-103.699,-2.65369,-20.5846
-106.994,-3.20808,-29.3962
-97.1883,-9.45419,-19.0605
-97.6535,-8.6495,-23.8311
-97.6038,-8.69259,-30.9014
-95.7692,-9.8736,-19.8415
-96.136,-10.2011,-24.1129
-96.823,-10.0782,-30.7933
-95.3199,-12.1285,-32.1502
-94.1041,-11.9949,-39.9882
-89.8327,-11.8052,-26.2918
-84.6548,-1.98163,-45.854
-79.5022,-2.71233,-23.6233
-83.6993,-0.927373,-45.6593
-77.5016,9.46452,-42.319
-75.3176,16.7424,-26.907
-77.8219,17.2642,-34.4993
-81.8175,20.1838,-35.6552
-86.0573,19.8282,-39.5288
-86.3501,20.4666,-38.4914
-106.141,11.288,-21.7686
-104.546,3.87475,-16.2567
-56.978,-29.3946,20.0132
