X,Y,Z
187.338,-32.9014,-42.5727
187.682,-32.5025,-41.9583
187.953,-32.1222,-41.0726
188.332,-32.3419,-40.3362
188.45,-32.6057,-40.4283
188.597,-32.5978,-40.5973
188.554,-32.296,-41.0393
188.418,-32.218,-41.6751
188.39,-31.9255,-42.2465
188.526,-31.5567,-42.5943
188.441,-31.1536,-43.1505
188.361,-30.8088,-43.6557
188.459,-30.706,-43.3906
188.72,-31.0424,-42.726
188.737,-31.5932,-42.4991
188.39,-32.0922,-42.6866
188.41,-32.01,-42.8954
188.392,-31.8229,-42.8622
188.398,-32.1017,-42.7673
188.612,-32.4227,-42.5646
188.696,-32.7058,-42.5162
188.682,-32.3275,-42.9429
188.578,-31.5243,-43.4997
188.539,-31.1623,-43.8224
188.813,-31.3033,-43.7667
189.041,-31.8161,-43.4056
189.16,-32.4092,-43.1477
189.227,-32.8456,-43.0347
189.437,-32.5965,-43.0225
189.608,-32.2504,-42.7184
189.509,-32.2137,-42.2487
189.277,-32.7468,-41.8345
189.378,-33.1419,-41.7207
189.45,-32.8543,-42.1766
189.379,-32.0635,-42.6065
189.719,-31.8958,-42.408
189.629,-32.036,-42.0115
189.48,-32.216,-42.0538
189.181,-32.3326,-42.2592
189.173,-32.7883,-42.0536
189.216,-33.4686,-41.8077
189.31,-33.8205,-41.7563
189.614,-33.8773,-41.5981
189.709,-34.1768,-41.4986
189.742,-34.1814,-41.3125
189.79,-34.2704,-41.477
190.062,-34.0185,-41.5949
190.29,-33.7441,-41.8701
190.415,-33.3509,-42.1303
190.39,-33.4914,-42.1487
190.131,-33.665,-42.2258
190.024,-33.9173,-42.3275
189.898,-34.0784,-42.3295
189.865,-34.2299,-42.2882
189.918,-34.1894,-42.0938
190.043,-33.9082,-41.7101
190.34,-34.0381,-41.5462
190.467,-34.144,-41.467
190.612,-34.4211,-41.4361
190.634,-34.3516,-41.3968
190.471,-34.211,-41.3808
190.371,-34.0253,-41.3911
190.389,-33.6987,-41.2045
190.333,-33.2395,-41.4953
190.399,-33.0923,-41.7107
190.224,-33.2099,-41.7163
190.151,-33.2498,-41.843
190.191,-33.4248,-41.8486
190.212,-33.1238,-41.868
190.01,-32.8921,-41.9577
189.751,-32.4865,-42.0222
189.835,-32.2538,-41.8775
190.238,-32.1009,-41.3734
190.468,-32.3079,-40.8393
190.388,-32.6832,-40.5913
190.193,-33.097,-40.4577
189.979,-33.5217,-40.3037
189.821,-33.666,-40.2548
189.886,-33.899,-40.1251
189.86,-34.0759,-40.3426
189.947,-34.1923,-40.2514
189.949,-34.0588,-40.35
189.846,-34.1074,-40.5885
189.783,-34.1207,-40.9487
189.718,-33.8068,-40.9098
189.889,-33.4274,-40.5935
189.879,-33.2651,-40.7925
189.9,-33.3603,-40.771
189.986,-33.5007,-40.9413
190.146,-33.5795,-41.0505
190.008,-33.7576,-41.2816
189.88,-33.8324,-41.5238
189.92,-33.7911,-41.6097
190.13,-33.7156,-41.543
190.119,-33.8799,-41.4923
190.172,-34.1071,-41.2056
190.096,-34.3679,-41.1187
189.958,-34.5791,-41.2299
189.934,-34.4858,-41.3082
189.894,-34.5829,-41.3957
189.895,-34.5688,-41.5596
190.175,-34.2381,-41.6103
190.405,-33.6045,-41.3823
190.422,-33.3998,-41.3389
190.264,-33.3579,-41.2262
190.063,-33.2296,-41.2274
190.06,-33.2677,-41.3172
190.077,-33.306,-41.5786
189.971,-33.6086,-41.6039
189.961,-33.7445,-41.5221
189.956,-33.8465,-41.4969
189.714,-33.6518,-41.7073
189.5,-33.5293,-41.9632
189.275,-33.1835,-42.385
189.005,-32.8873,-42.6354
188.799,-33.0346,-42.6153
188.651,-32.9916,-42.4777
188.504,-32.8978,-42.3301
188.595,-32.6962,-42.1695
188.653,-32.7531,-41.9307
188.812,-32.9737,-41.5976
188.783,-33.0348,-41.7035
188.826,-33.2109,-41.7837
188.751,-33.3836,-41.6666
188.899,-33.678,-41.4673
188.785,-33.8113,-41.4127
188.899,-33.625,-41.2697
188.986,-33.3336,-41.1178
189.081,-33.1731,-41.0004
189.14,-33.0893,-41.1116
189.087,-32.9989,-41.2773
189.239,-32.9249,-41.3462
189.184,-33.1416,-41.3941
189.203,-33.1685,-41.3041
189.165,-33.216,-41.147
189.034,-33.3267,-40.8489
188.893,-33.6063,-40.7752
188.993,-33.5544,-40.7396
189.144,-33.4614,-40.7971
189.211,-33.3695,-40.9205
189.138,-33.2992,-41.0886
189.093,-33.344,-41.2658
189.107,-33.1293,-41.5498
188.995,-33.1851,-41.8129
188.869,-33.0464,-42.0116
188.883,-33.1785,-42.2771
188.996,-32.938,-42.5404
189.118,-32.7858,-42.6067
188.963,-32.6889,-42.6762
188.935,-32.8467,-42.6796
188.702,-32.9998,-42.7743
188.644,-33.116,-42.6258
188.718,-33.3535,-42.49
188.655,-33.5951,-42.351
188.635,-33.2692,-42.1738
188.674,-33.0726,-42.186
188.46,-33.0062,-42.4168
188.379,-33.3155,-42.2889
188.271,-33.8288,-42.0151
188.255,-33.9772,-41.6799
188.191,-34.0461,-41.7828
188.182,-33.8863,-41.8058
188.254,-33.5893,-42.0111
188.156,-33.248,-42.2608
187.851,-33.2892,-42.3629
187.752,-33.4773,-42.4
187.981,-33.5712,-42.3686
188.082,-33.495,-42.08
