X,Y,Z
2.35475,14.1788,-8.98172
2.47877,14.046,-8.89268
2.57339,13.9234,-8.91693
2.58486,14.0295,-8.91948
2.36787,14.4028,-9.08635
2.26856,14.6465,-9.16316
2.37597,14.7507,-9.28695
2.47452,14.6259,-9.31484
2.67042,14.6049,-9.46904
2.62845,14.6259,-9.68576
2.70403,14.395,-9.71744
2.76506,14.0544,-9.75518
2.52311,13.7504,-9.61233
2.41067,13.5407,-9.4867
2.51323,13.2997,-9.40717
2.60823,13.1752,-9.43461
2.74739,13.4989,-9.5451
2.97013,13.8145,-9.79147
2.99065,13.9202,-9.7879
2.92441,14.0351,-9.64864
2.86491,13.9087,-9.30513
3.04762,13.6589,-9.3618
3.03192,13.5495,-9.36834
3.01581,13.44,-9.3765
2.96566,13.1132,-9.3944
2.85519,12.6583,-9.0687
2.87855,12.6494,-8.95633
2.67377,12.9136,-9.00538
2.69985,13.252,-9.09463
2.73699,13.3503,-8.97926
2.87621,13.5511,-8.99108
2.99581,13.7647,-9.11147
3.263,14.0602,-9.13676
3.17348,14.1862,-9.10584
3.07147,14.0818,-8.98014
3.07928,13.9619,-8.87389
3.24269,13.722,-9.04176
3.26759,13.7132,-8.93033
3.16537,13.6076,-8.80515
3.05936,13.5004,-8.68389
2.96777,13.6261,-8.65397
2.72611,13.7926,-8.81853
2.50251,13.9454,-8.87536
2.47058,14.1968,-9.19021
2.37206,14.4419,-9.26496
2.49591,14.5354,-9.28093
2.43399,14.4083,-8.94011
2.49702,14.4993,-8.70848
2.4121,14.6253,-8.67244
2.36901,14.7669,-8.99381
2.56279,14.8643,-9.2562
2.75592,14.9618,-9.51703
2.95311,15.0603,-9.77351
2.74357,15.2115,-9.82676
2.75415,15.213,-9.82226
2.59338,15.1416,-10.0237
2.58045,15.0311,-10.0315
2.54732,14.9294,-10.1505
2.61916,14.8137,-10.2919
2.73472,14.7943,-10.3162
3.02846,14.6426,-10.5015
3.2748,14.5949,-10.4422
3.30988,14.4565,-10.2376
3.2031,14.1017,-10.0413
3.50511,13.7929,-10.1712
3.69301,13.0385,-10.0793
3.85075,12.2749,-9.50508
3.48896,12.17,-9.01729
2.90985,12.3345,-8.58534
2.44874,12.7148,-8.27222
1.85663,13.2388,-8.15308
1.35669,13.9866,-8.38405
1.16626,14.0133,-8.8419
1.42787,14.1815,-9.38326
1.76779,14.4512,-9.57321
2.11585,14.7311,-9.74672
2.1473,14.831,-9.63876
2.06947,15.0646,-9.61529
2.07743,15.2881,-9.72579
2.10709,15.5059,-9.72448
2.17139,15.4984,-9.97207
2.07466,15.7372,-10.061
1.96208,15.8677,-10.1536
1.96093,15.982,-10.2629
2.03236,16.0913,-10.6124
2.0896,16.3029,-10.4973
1.98941,16.2034,-10.3709
1.78789,15.8857,-10.0109
1.50201,15.4626,-9.4097
1.49654,15.1174,-9.20091
1.51803,15.1068,-9.09852
1.74882,15.0603,-9.04281
1.79811,15.1491,-8.83243
1.66644,15.2509,-8.38087
1.46398,15.5831,-7.91433
1.45984,16.1249,-8.40759
1.59696,16.7576,-9.3871
1.34609,17.2064,-9.1629
0.850239,17.1394,-8.08059
1.0533,17.2094,-7.67693
1.2075,17.5169,-7.70889
0.70097,17.9228,-7.6245
-0.351432,18.8595,-7.19286
-1.23936,20.1153,-6.76804
-1.79896,20.6497,-6.52842
-2.38361,20.6252,-5.96411
-3.14846,20.1595,-4.70972
-3.48825,19.7358,-2.96964
-3.35806,19.9292,-2.30764
-3.35963,20.949,-3.0568
-3.54734,22.0025,-3.64173
-3.65907,22.5904,-3.45088
-3.39342,22.4373,-3.14081
-3.47159,22.901,-3.2054
-4.13704,24.1219,-3.24868
-5.02366,24.9298,-3.00608
-5.5135,24.9063,-3.19818
-5.45837,25.1601,-3.80779
-5.75955,25.6725,-4.02998
-6.22424,25.7526,-4.15276
-6.53313,25.7955,-3.97353
-7.381,26.2563,-3.89973
-8.39276,26.8467,-3.55655
-9.29755,27.3279,-3.79896
-9.63321,27.728,-4.01847
-10.0481,28.1538,-4.68077
-9.64268,29.0298,-5.57296
-9.65712,29.5128,-5.93563
-10.6009,29.8697,-5.10284
-11.5072,30.1216,-4.63086
-11.8497,30.8661,-4.5813
-12.1002,31.7209,-4.75247
-13.4121,31.6114,-4.88746
-13.96,31.4719,-4.62326
-14.1824,31.5077,-4.54239
-14.4885,32.2735,-5.41881
-15.692,33.234,-7.4657
-16.5166,33.2922,-8.17364
-16.586,33.0751,-7.80895
-16.7661,33.0898,-7.06618
-17.1943,32.9164,-6.28202
-17.836,33.693,-6.09206
-18.8631,34.7853,-6.39107
-19.8869,34.8558,-5.59844
-20.3107,34.8216,-4.5904
-20.054,35.2458,-4.40016
-19.6021,35.5438,-5.31748
-19.4598,35.7614,-5.93802
-18.9045,36.3619,-6.49569
-18.0956,37.1731,-7.64846
-18.9833,37.696,-8.45249
-20.3192,38.0052,-7.48197
-22.2796,38.6142,-6.28806
-23.8988,38.0248,-5.2389
-24.3242,37.9524,-4.48697
-23.3949,39.3086,-5.50799
-22.9706,39.7137,-6.02827
-23.1625,39.9371,-5.90953
-23.2678,40.4887,-5.65271
-23.4666,40.5142,-5.02479
-23.1951,41.4692,-4.47198
-23.2736,42.2177,-4.59369
-23.7946,42.7044,-4.96865
-24.0649,43.1703,-4.79979
-23.9305,44.0283,-4.67054
-24.1,44.5056,-4.68877
-24.1841,44.3216,-4.52372
-24.2476,44.2286,-4.29549
-24.6618,44.501,-4.2035
-24.9727,45.3182,-4.45002
-24.6719,46.6158,-4.44536
-23.8353,46.9277,-4.03823
-23.1147,46.9303,-3.49328
-23.0973,47.5012,-3.35346
-23.6423,48.2578,-2.7792
-23.6466,48.6973,-2.1203
-23.193,49.8422,-1.89235
-22.8078,50.992,-2.36195
-23.2035,51.1283,-1.57845
-23.3138,51.6736,-0.846028
-23.1173,52.4922,-0.767572
-22.9332,53.6513,-0.980581
-23.651,54.5119,-0.972965
-24.5726,55.2219,-1.44135
-24.7216,55.9426,-2.16126
-24.3329,56.2172,-3.15121
-24.5476,56.6671,-2.6516
-25.1497,57.0532,-1.71348
-25.359,56.504,-1.09147
-24.9939,55.8803,-1.05173
-24.6661,56.1722,-1.30145
-24.64,56.8476,-1.59087
-24.6573,57.095,-1.3986
-24.397,57.3057,-1.4959
-24.6338,57.8057,-1.37469
-25.6361,57.6127,-1.02226
-26.3237,56.6864,-0.294095
-26.4194,56.5797,0.000694907
-26.0608,56.7181,-0.309247
-25.8437,56.8688,-0.690846
-25.2085,56.4456,-1.14176
-24.9527,56.5462,-1.72649
-25.3021,56.8542,-1.62287
-25.8744,56.954,-0.336893
-26.4566,57.1887,0.762939
-26.7459,58.0653,0.698654
-26.9538,58.7248,0.0118543
-27.0255,58.9088,-0.296003
-26.9683,58.7334,0.144772
-27.273,58.8123,0.580206
-27.2106,58.7359,1.09139
-26.6679,58.3987,1.14367
-26.2312,58.3434,0.808831
-26.1771,58.1866,-0.67286
-26.5093,59.0791,-1.99232
-26.9179,58.31,-2.14148
-26.7884,57.0407,-1.80304
-26.8759,56.3262,-2.52592
-27.3528,56.5216,-2.86105
-27.6025,56.7919,-2.3229
-27.0684,56.6363,-1.80707
-26.1754,56.6699,-1.55904
-26.1138,56.9069,-1.16554
-26.561,57.5571,-1.25022
-26.8825,58.1948,-1.80774
-26.9716,58.3368,-2.40019
-26.4631,58.9557,-2.97041
-26.5238,59.5291,-2.31408
-26.8521,59.7745,-1.83444
-27.5071,59.4901,-1.64285
