X,Y,Z
22.5506,-110.955,-57.9974
22.5688,-110.838,-58.1083
22.5782,-110.843,-58.1083
22.4557,-110.769,-58.03
22.4607,-110.758,-58.0282
22.4825,-110.615,-57.9814
22.4123,-110.674,-58.0502
22.4701,-110.767,-58.0233
22.4701,-110.767,-58.0233
22.5926,-110.841,-58.0902
22.475,-110.767,-58.012
22.3935,-110.842,-58.0758
22.4543,-110.774,-58.0233
22.3678,-110.823,-58.1033
22.2528,-110.705,-57.8949
22.1996,-110.607,-57.9168
21.8845,-110.593,-58.1634
21.8393,-110.425,-58.4489
21.7834,-110.22,-58.5817
21.615,-109.946,-58.6364
21.4291,-109.74,-58.418
21.3067,-109.671,-58.3511
20.9199,-109.73,-58.0812
20.4113,-109.587,-57.8443
20.1452,-109.551,-57.5995
19.7007,-109.505,-57.3468
19.2618,-109.415,-56.9461
18.5474,-109.516,-56.6589
17.903,-109.641,-56.6118
17.2698,-109.611,-56.509
16.7495,-109.659,-56.4776
16.2978,-109.796,-56.4242
15.926,-109.575,-56.2385
15.816,-109.353,-56.12
15.6302,-109.226,-56.2169
15.5548,-109.246,-56.128
15.4241,-109.323,-56.1126
15.3594,-109.343,-56.0087
15.3124,-109.26,-56.0307
15.2984,-109.25,-56.0359
15.2876,-109.254,-56.0261
15.4539,-109.421,-56.0861
15.4936,-109.706,-56.2587
15.6233,-109.551,-56.5529
15.6879,-109.526,-56.6418
15.7337,-109.67,-56.7726
15.9264,-109.689,-56.7748
15.9911,-109.67,-56.8593
16.1923,-109.728,-56.9946
16.3023,-109.953,-57.0969
16.4683,-110.12,-57.1527
16.5963,-110.15,-57.0669
16.6663,-110.17,-57.3194
16.714,-110.298,-57.4502
16.903,-110.495,-57.6588
17.2698,-110.492,-58.0814
17.3935,-110.493,-58.412
17.4869,-110.769,-58.6735
17.673,-110.868,-58.9711
17.8436,-110.967,-59.2687
18.1448,-110.938,-59.4497
18.4599,-111.038,-59.5308
18.7213,-111.14,-59.512
18.9718,-111.243,-59.4933
18.9224,-111.302,-59.5681
18.9335,-111.286,-59.578
19.0032,-111.262,-59.6669
19.0136,-111.312,-59.8148
19.0025,-111.312,-59.8148
19.0025,-111.312,-59.8037
19.0672,-111.297,-59.8974
19.1443,-111.127,-59.9397
19.0734,-111.151,-59.8299
19.0164,-111.023,-59.6929
19.0991,-110.812,-59.5874
18.8966,-110.797,-59.5842
18.8849,-110.909,-59.4745
18.8959,-110.909,-59.4793
18.7735,-110.831,-59.4234
18.9849,-110.704,-59.3848
19.2369,-110.65,-59.3352
19.2724,-110.895,-59.3551
19.4073,-110.817,-59.3803
19.6194,-110.568,-59.4526
19.8949,-110.373,-59.3391
20.2872,-110.296,-59.4357
20.8277,-110.218,-59.3146
21.4377,-109.847,-59.3516
22.2372,-109.412,-59.0864
23.0511,-108.973,-58.8211
23.854,-108.539,-58.5559
24.7447,-107.973,-58.4906
25.4237,-107.618,-58.2113
26.3008,-107.008,-58.0133
27.1883,-106.549,-57.837
27.9389,-106.055,-57.7575
28.9003,-105.382,-57.4841
29.7323,-104.83,-57.3296
30.6455,-104.043,-57.4802
31.5254,-103.517,-57.5561
32.4109,-102.951,-57.4904
33.2192,-102.556,-57.3835
33.8788,-102.244,-57.2377
34.7643,-101.678,-57.1722
35.4968,-101.314,-56.9707
36.4256,-100.953,-56.7724
37.4461,-100.309,-56.7321
38.3964,-99.724,-56.7668
39.1458,-99.3024,-56.4125
39.9715,-98.9799,-56.0364
40.5955,-98.4797,-56.1913
41.3661,-97.7737,-56.3047
