X,Y,Z
-108.919,62.0524,-276.221
-108.919,62.0524,-276.221
-108.901,62.1196,-276.134
-108.921,62.2457,-276.226
-108.903,62.3282,-276.124
-108.903,62.3282,-276.124
-108.817,62.4588,-276.1
-108.905,62.5215,-276.129
-108.886,62.5886,-276.042
-108.82,62.652,-276.105
-108.796,62.6284,-276.105
-108.796,62.6044,-276.129
-108.819,62.6044,-276.105
-108.819,62.6044,-276.129
-108.819,62.6044,-276.129
-108.819,62.6284,-276.129
-108.819,62.6284,-276.105
-108.684,62.562,-276.226
-108.699,62.562,-276.226
-108.702,62.4949,-276.313
-108.615,62.4322,-276.284
-108.633,62.3651,-276.371
-108.564,62.2113,-276.428
-108.583,62.1441,-276.516
-108.548,61.9472,-276.66
-108.464,61.8174,-276.718
-108.326,61.5577,-276.833
-108.276,61.3608,-276.978
-108.18,61.3185,-277.099
-108.063,61.185,-277.322
-107.955,61.0787,-277.38
-107.819,61.0123,-277.485
-107.684,60.9459,-277.606
-107.635,60.9422,-277.756
-107.567,60.8124,-277.814
-107.5,60.8759,-277.877
-107.431,60.746,-277.934
-107.431,60.746,-277.934
-107.362,60.6162,-277.992
-107.362,60.6162,-277.992
-107.293,60.5107,-278.049
-107.336,60.4628,-277.995
-107.272,60.3525,-277.966
-107.306,60.2853,-278.045
-107.372,60.2462,-277.982
-107.482,60.1156,-278.006
-107.461,60.0129,-277.913
-107.528,59.9494,-277.85
-107.643,59.9487,-277.817
-107.71,59.8852,-277.754
-107.844,59.7584,-277.628
-107.979,59.8247,-277.507
-108.139,59.8911,-277.363
-108.187,59.9182,-277.212
-108.342,59.902,-277.179
-108.323,59.9692,-277.076
-108.371,59.9882,-276.926
-108.416,60.0946,-276.892
-108.397,60.1617,-276.805
-108.397,60.1617,-276.805
-108.466,60.2915,-276.747
-108.447,60.3586,-276.66
-108.362,60.4892,-276.636
-108.431,60.619,-276.578
-108.412,60.6861,-276.491
-108.394,60.7532,-276.404
-108.394,60.7532,-276.404
-108.396,60.9465,-276.409
-108.396,60.9465,-276.409
-108.467,60.9501,-276.259
-108.483,60.9501,-276.274
-108.483,60.9501,-276.274
-108.449,61.0173,-276.187
-108.449,61.0173,-276.187
-108.531,60.9538,-276.124
-108.443,60.8911,-276.094
-108.443,60.8911,-276.071
-108.51,60.8277,-276.008
-108.534,60.8277,-276.008
-108.534,60.8277,-276.008
-108.577,60.7643,-275.945
-108.665,60.8269,-275.974
-108.716,60.7635,-275.911
-108.716,60.8111,-275.911
-108.716,60.8111,-275.896
-108.798,60.7241,-275.833
-108.822,60.7241,-275.833
-108.865,60.6607,-275.77
-108.865,60.6607,-275.77
-108.844,60.6171,-275.857
-108.935,60.5536,-275.794
-108.935,60.5536,-275.794
-108.935,60.5536,-275.794
-108.935,60.5536,-275.794
-108.926,60.5301,-275.794
-108.931,60.5972,-275.707
-109.019,60.6599,-275.736
-109.019,60.6599,-275.736
-108.913,60.7234,-275.799
-108.913,60.7234,-275.823
-108.889,60.7234,-275.823
-108.889,60.6993,-275.823
-108.977,60.762,-275.852
-108.915,60.8925,-275.828
-108.915,60.8925,-275.828
-108.915,60.8925,-275.828
-108.896,60.9596,-275.741
-108.936,61.0186,-275.921
-108.917,61.1098,-275.833
-108.932,61.1251,-275.833
-108.932,61.1251,-275.833
-108.866,61.1886,-275.873
-108.89,61.1886,-275.873
-108.91,61.3147,-275.966
-108.91,61.3147,-275.966
-108.844,61.3782,-276.029
-108.71,61.5051,-276.179
-108.643,61.5685,-276.242
-108.577,61.6084,-276.305
-108.51,61.6719,-276.344
-108.546,61.798,-276.437
-108.479,61.8615,-276.476
-108.503,61.8615,-276.476
-108.436,61.9249,-276.539
-108.433,62.051,-276.632
-108.42,62.2443,-276.661
-108.356,62.5009,-276.729
-108.464,62.6897,-276.851
-108.482,62.883,-276.857
-108.508,63.1352,-277.042
-108.462,63.3484,-277.198
-108.349,63.6015,-277.417
-108.321,63.724,-277.659
-108.073,63.9347,-277.999
-107.977,63.9274,-278.299
-107.905,63.9439,-278.6
-107.875,63.8731,-278.837
-107.777,63.6726,-279.133
-107.745,63.4087,-279.365
-107.866,62.9507,-279.558
-107.968,62.5598,-279.664
-108.11,61.9122,-279.702
-108.364,61.3274,-279.753
-108.751,60.6156,-279.694
-109.157,59.8131,-279.746
-109.423,59.1057,-279.57
-109.725,58.5245,-279.487
