X,Y,Z
-125.827,-49.5314,8.94872
-125.84,-49.4705,8.98859
-125.841,-49.4499,8.94755
-125.835,-49.5839,8.88748
-125.727,-49.4827,8.94517
-125.731,-49.4656,8.94345
-125.841,-49.4718,8.95732
-125.861,-49.4547,8.94106
-125.861,-49.4547,8.93935
-125.893,-49.3464,8.89884
-125.893,-49.3319,8.89884
-125.87,-49.483,8.86092
-125.87,-49.4812,8.87717
-125.869,-49.4247,8.98811
-125.854,-49.4384,9.00265
-125.857,-49.5719,8.84149
-125.866,-49.527,8.81556
-125.843,-49.4987,8.9616
-125.85,-49.3973,9.03038
-125.827,-49.4298,9.07746
-125.83,-49.5779,8.88809
-125.854,-49.5031,8.83139
-125.959,-49.5419,8.83344
-125.833,-49.5193,8.81681
-125.914,-49.7093,8.81173
-125.914,-49.7102,8.81173
-125.778,-49.7795,8.85611
-125.774,-49.7204,8.96704
-125.776,-49.7204,8.95078
-125.745,-49.7533,9.10217
-125.763,-49.737,9.08592
-125.786,-49.586,9.10761
-125.787,-49.5714,9.08879
-125.79,-49.6279,8.99411
-125.685,-49.6644,8.86659
-125.703,-49.6499,8.85035
-125.785,-49.6703,9.00207
-125.678,-49.6315,8.98551
-125.676,-49.575,9.0802
-125.811,-49.5056,9.04173
-125.835,-49.3545,9.06342
-125.861,-49.2222,9.10137
-125.884,-49.0695,9.1435
-125.772,-49.0041,9.22163
-125.796,-48.9284,9.18112
-125.779,-49.0183,9.08645
-125.77,-49.0654,9.0848
-125.773,-48.9631,9.12023
-125.628,-49.0623,9.14418
-125.417,-48.8966,9.13285
-125.413,-48.8537,9.22753
-125.543,-48.7255,9.28201
-125.543,-48.7441,9.28201
-125.649,-48.7062,9.39322
-125.675,-48.5552,9.43116
-125.647,-48.6471,9.48952
-125.541,-48.6082,9.473
-125.625,-48.841,9.35691
-125.645,-48.8855,9.24599
-125.756,-48.9511,9.16782
-125.893,-48.8819,9.12759
-125.759,-48.9348,9.17032
-125.789,-48.8292,9.11519
-125.875,-48.9866,9.11005
-125.955,-49.1013,9.18334
-125.924,-49.3117,9.2022
-125.792,-49.3664,9.25869
-125.905,-49.2974,9.38448
-125.959,-49.1575,9.32606
-125.96,-49.2427,9.2856
-126.076,-49.218,9.31675
-126.083,-49.2034,9.33303
-126.089,-49.1709,9.33303
-126.097,-49.2727,9.15995
-126.207,-49.3542,9.09815
-126.235,-49.2032,9.13612
-126.343,-49.2256,9.15105
-126.369,-49.1336,9.11065
-126.367,-49.0908,9.207
-126.392,-48.9397,9.24496
-126.39,-48.9397,9.22865
-126.361,-49.0154,9.26906
-126.379,-49.018,9.25693
-126.351,-49.0937,9.29736
-126.35,-49.0937,9.28105
-126.324,-49.1857,9.31896
-126.319,-49.1241,9.41364
-126.359,-48.914,9.52996
-126.358,-48.8378,9.60834
-126.465,-48.8602,9.60439
-126.437,-49.0088,9.55009
-126.324,-48.9453,9.59568
-126.213,-48.9229,9.56046
-126.344,-48.8081,9.59691
-126.359,-48.7296,9.65656
-126.254,-48.7515,9.51284
-126.374,-48.7149,9.60763
-126.262,-48.5753,9.78239
-126.218,-48.6673,9.83912
-126.128,-48.6449,9.80647
-126.241,-48.752,9.61707
-126.109,-48.8669,9.56273
-126.02,-48.8445,9.5464
-126.02,-48.7692,9.64112
-126.024,-48.7529,9.66153
-126.024,-48.7391,9.66153
-126.056,-48.6446,9.6048
-126.028,-48.7384,9.65739
-125.92,-48.7136,9.64104
-125.922,-48.7726,9.54461
-125.813,-48.7665,9.52826
-125.813,-48.7665,9.54621
-125.928,-48.6548,9.60057
-126.059,-48.5261,9.65494
-126.085,-48.375,9.69294
-126.057,-48.467,9.73339
-126.08,-48.3322,9.7714
-126.074,-48.2142,9.96085
-126.23,-47.9484,10.0532
-126.383,-47.6259,10.224
-126.376,-47.5242,10.4134
-126.262,-47.4738,10.4755
-126.148,-47.3355,10.634
-126.234,-47.3159,10.7489
-126.364,-47.2958,10.7263
-126.261,-47.286,10.577
-126.428,-47.472,10.6626
-126.424,-47.4861,10.6626
-126.398,-47.6394,10.6247
-126.504,-47.6619,10.6573
-126.397,-47.6557,10.6573
-126.413,-47.6211,10.5554
-126.553,-47.6294,10.4531
-126.459,-47.5723,10.3178
-126.322,-47.6416,10.3581
-126.272,-47.9453,10.2985
-126.086,-48.2414,10.3575
-125.957,-48.3535,10.3177
-125.979,-48.3203,10.3339
-125.99,-48.3299,10.2661
-126.159,-48.1985,10.2569
-126.065,-48.0971,10.2768
-125.99,-47.9221,10.3915
-126.101,-48.0298,10.3823
-126.127,-47.9819,10.3767
-126.153,-47.9907,10.2477
-126.266,-47.9657,10.2457
-126.264,-48.068,10.193
-126.162,-48.015,10.1764
-126.047,-48.1116,10.1242
-126.131,-48.2112,10.1788
-126.176,-48.0997,10.0855
-126.263,-48.2559,10.046
-126.265,-48.2396,10.0273
-126.158,-48.2169,10.0108
-126.176,-48.203,10.0108
-126.176,-48.1261,10.1079
-126.172,-48.0106,10.3154
-126.155,-48.0106,10.3316
-126.043,-47.9459,10.4098
-126.041,-47.9459,10.4081
-126.068,-47.8676,10.3352
-126.202,-47.8702,10.1963
-126.198,-47.8276,10.2911
-126.196,-47.8438,10.3057
-126.069,-47.7629,10.3839
-125.959,-47.7571,10.3674
-125.953,-47.7127,10.4638
-126.065,-47.6168,10.5533
-126.067,-47.5903,10.5129
-125.932,-47.6454,10.5086
-125.963,-47.5238,10.3938
-126.062,-47.6514,10.2954
-126.081,-47.5313,10.3173
-126.058,-47.58,10.3173
-126.034,-47.7008,10.2404
-126.012,-47.8092,10.1642
-126.018,-47.7643,10.1239
-125.931,-47.624,10.1617
-125.927,-47.5813,10.2564
-125.907,-47.5386,10.3512
-125.904,-47.5386,10.3512
-125.904,-47.5386,10.3512
-125.773,-47.7399,10.2017
-125.775,-47.8004,10.0868
-125.665,-47.7755,10.0686
-125.544,-47.7699,10.2033
-125.442,-47.7917,10.0758
-125.524,-47.8901,10.1489
-125.528,-47.8739,10.1505
-125.528,-47.7987,10.2437
-125.574,-47.6897,10.1871
-125.578,-47.6735,10.1848
-125.58,-47.6735,10.1848
-125.503,-47.5871,10.0168
-125.493,-47.6792,10.0758
-125.468,-47.7737,10.1323
-125.34,-47.6923,10.2267
-125.34,-47.6907,10.2267
-125.478,-47.6799,10.0936
-125.534,-47.4965,10.0005
-125.53,-47.4561,10.1114
-125.498,-47.5038,10.279
-125.401,-47.4054,10.2057
-125.291,-47.3991,10.1875
-125.315,-47.3209,10.1309
-125.425,-47.4023,10.0528
-125.449,-47.3264,9.99623
