X,Y,Z
-99.1246,-65.062,-17.0319
-99.2362,-65.0606,-17.021
-99.2279,-65.0606,-17.0197
-99.2296,-65.0249,-17.1326
-99.3342,-65.0222,-17.13
-99.3342,-65.0222,-17.13
-99.3342,-65.0425,-17.13
-99.4378,-64.9935,-17.2284
-99.4402,-65.0945,-17.2676
-99.3256,-65.1435,-17.1573
-99.3339,-65.1421,-17.1573
-99.3422,-65.1315,-17.1453
-99.3381,-65.0781,-17.0051
-99.2325,-64.9666,-16.9601
-99.3524,-64.9532,-16.9575
-99.3537,-64.9532,-16.9575
-99.3471,-64.8973,-17.0705
-99.2392,-65.0116,-17.1206
-99.3425,-65.0102,-17.13
-99.4541,-65.0088,-17.1395
-99.3318,-64.9213,-17.0944
-99.3235,-64.9416,-17.0944
-99.4244,-64.8512,-17.0443
-99.4138,-64.7623,-17.0087
-99.4138,-64.7623,-17.0087
-99.4069,-64.7609,-17.0124
-99.4109,-64.8143,-17.1609
-99.4096,-64.8143,-17.1609
-99.4073,-64.7134,-17.1014
-99.4115,-64.66,-16.9528
-99.2994,-64.5128,-17.0088
-99.2994,-64.5128,-17.0088
-99.1878,-64.5141,-17.0113
-99.1878,-64.5141,-17.0113
-99.1878,-64.5022,-17.0113
-99.0745,-64.5511,-16.9129
-98.9607,-64.4635,-16.8679
-98.9607,-64.4635,-16.8679
-98.9501,-64.3745,-16.8203
-98.9528,-64.4278,-16.9688
-98.8308,-64.3401,-16.9238
-98.9423,-64.3388,-16.9212
-98.9423,-64.3388,-16.9212
-98.941,-64.3507,-16.9093
-98.8295,-64.3521,-16.9118
-98.7149,-64.401,-16.8015
-98.6033,-64.4023,-16.8041
-98.6033,-64.4023,-16.8041
-98.6075,-64.337,-16.6437
-98.6167,-64.438,-16.6913
-98.6249,-64.4261,-16.6794
-98.6272,-64.5151,-16.7269
-98.6396,-64.5685,-16.8635
-98.646,-64.6042,-16.7626
-98.6497,-64.6932,-16.8102
-98.6556,-64.5923,-16.7745
-98.6569,-64.5804,-16.7745
-98.6569,-64.5817,-16.7864
-98.7633,-64.5327,-16.9049
-98.6407,-64.4927,-16.7709
