X,Y,Z
27.4029,-45.8161,2.96235
31.7581,-49.5142,1.54227
32.3722,-50.9541,1.93526
-76.9204,-21.6198,14.2085
-75.5198,-23.3321,9.10593
-75.7205,-22.8463,7.72979
-76.9189,-23.6314,0.154079
-69.8028,-21.8351,17.5997
-72.1778,-22.8607,10.9668
-81.3735,-29.9572,15.253
-74.6853,-24.8932,7.53072
-77.1599,-26.3156,-0.631984
-73.5075,-25.1611,12.685
-72.9822,-26.6511,10.4239
-73.0246,-27.5795,7.60958
-78.9546,-35.5818,0.167118
-77.6764,-28.822,-4.28734
-69.198,-22.6397,18.2662
-70.7254,-26.3206,10.948
-71.3054,-30.7062,9.20734
-76.0092,-37.3524,-0.086768
-68.5155,-20.9446,10.975
-68.5558,-28.6973,10.2952
-69.4933,-34.9706,8.7651
-67.1665,-40.1505,1.5945
-65.6319,-27.0801,13.0503
-63.2625,-32.3234,12.3673
-58.8754,-37.7452,7.50159
-65.419,-24.6538,13.2343
-65.1001,-26.1754,13.4295
-65.8446,-22.1231,12.401
-62.9044,-25.5048,14.8383
-67.7324,-21.036,11.0997
-66.135,-21.6151,12.2661
-59.87,-23.9752,16.5179
-68.3884,-20.8992,17.1831
-65.2767,-20.1494,13.375
-66.1443,-19.2008,12.3329
-66.6391,-18.1761,11.597
-66.5746,-17.4908,11.4089
-67.3246,-17.5893,10.6146
-67.0298,-16.0739,8.17109
-68.4606,-19.04,13.7079
-68.0852,-18.2434,12.064
-67.7185,-14.9943,7.71123
-68.3127,-14.1638,7.40487
-69.0787,-19.3307,9.37132
-69.3486,-18.735,8.97131
-69.7575,-14.1283,6.51077
-69.003,-20.357,10.3315
-70.0236,-18.3867,8.38081
-70.5722,-18.4875,8.06751
-72.3434,-16.8157,7.26167
-77.547,-13.0545,2.26477
-76.9464,-13.7322,-2.15116
-71.2187,-18.7555,7.8905
-74.3563,-16.0421,6.74237
-78.1167,-16.6366,1.79445
-77.895,-16.1887,-1.62789
-71.3575,-20.0062,15.817
-72.4595,-20.2728,15.7111
-74.132,-20.3351,10.8559
-76.1987,-19.0074,10.7626
-77.3601,-19.9417,7.89771
-77.8912,-18.7154,1.33631
-77.37,-19.9348,0.942948
-5.16218,-18.8435,29.178
0.373124,-19.7047,34.4097
-4.74158,-20.9137,32.4783
3.3413,-21.0947,30.6756
4.73576,-22.6063,29.5583
6.48928,-21.0115,32.1273
8.70974,-19.7137,33.4737
10.9594,-17.9552,40.5181
11.1135,-18.5232,34.4139
16.7481,-16.9219,30.6848
10.9178,-16.9624,26.3052
10.4219,-14.9849,38.8078
11.8468,-14.6451,31.9087
14.3218,-13.5133,29.6491
11.0931,-15.4692,25.8582
9.04123,-16.0994,25.2634
11.1903,-16.6113,15.3054
5.56434,-16.6744,22.2515
11.1562,-12.3443,38.163
9.10213,-13.6782,31.6017
9.54037,-12.8417,28.3233
10.1011,-7.75058,39.4198
8.54997,-13.2303,30.6832
9.19413,-10.0199,26.9501
13.5702,-4.39631,15.3481
5.38471,-15.9406,24.0904
6.68871,-7.69959,38.4668
6.84389,-10.8974,30.0886
5.50111,-10.8506,29.6246
6.71922,-10.2377,26.332
7.16193,-9.83572,24.5673
7.06344,-8.95023,21.4581
4.64899,-15.9717,24.4116
5.54612,-7.1766,38.0504
4.06016,-11.4906,30.655
6.47612,1.29292,34.2274
5.06963,-2.18364,27.5765
4.46528,-11.8547,24.947
5.1387,-12.2561,23.223
5.07629,-10.2768,16.7193
4.11011,-12.7766,14.0812
3.11937,-12.6017,30.6796
3.24857,-12.3058,28.9749
3.21381,-12.571,26.7938
3.08163,-13.5013,24.5189
3.76633,-15.4192,24.3638
2.61214,-13.8521,24.6308
3.67468,-15.6437,23.0581
-7.67014,-15.6456,31.1297
