X,Y,Z
137.892,-85.7822,92.4908
137.892,-85.7822,92.4908
137.892,-85.7822,92.4908
137.892,-85.7822,92.4908
138.003,-85.7882,92.4946
138.003,-85.7704,92.4946
138.01,-85.671,92.5453
138.01,-85.671,92.5453
138.01,-85.671,92.5453
138.007,-85.6888,92.5453
138.007,-85.6888,92.5453
138.003,-85.6888,92.5453
138.003,-85.7066,92.5453
138.003,-85.7066,92.5453
138.009,-85.6384,92.4459
138.013,-85.6384,92.4459
138.124,-85.6444,92.4497
138.12,-85.726,92.3991
138.124,-85.726,92.3991
138.124,-85.726,92.3991
138.127,-85.6756,92.2997
138.127,-85.6756,92.2997
138.238,-85.6994,92.3035
138.238,-85.6994,92.2858
138.248,-85.6994,92.2858
138.248,-85.6994,92.2858
138.248,-85.6994,92.2858
138.137,-85.6933,92.2819
138.131,-85.8432,92.3306
138.013,-85.8698,92.4262
138.013,-85.8698,92.4262
137.896,-86.0136,92.4711
137.89,-86.0641,92.5704
137.772,-86.1085,92.666
137.766,-86.1589,92.7653
137.762,-86.1589,92.7653
137.645,-86.2034,92.8609
137.642,-86.1544,93.0109
137.636,-86.2049,93.1103
137.63,-86.2553,93.2097
137.627,-86.2064,93.3597
137.621,-86.2568,93.4591
137.625,-86.1574,93.5097
137.619,-86.2079,93.6091
137.622,-86.1085,93.6598
137.622,-86.1085,93.6598
137.63,-86.1589,93.7591
137.624,-86.2094,93.8408
137.628,-86.11,93.8914
137.628,-86.11,93.8914
137.624,-86.124,93.8914
137.628,-86.124,93.8914
137.628,-86.124,93.8914
137.631,-86.0246,93.9421
137.625,-86.061,94.0415
137.625,-86.061,94.0415
137.625,-86.061,94.0415
137.625,-86.0433,94.0415
137.738,-86.0144,94.1953
137.738,-86.0144,94.1953
137.738,-86.0144,94.1917
137.731,-86.0649,94.2911
137.729,-86.016,94.4411
137.723,-86.0664,94.5441
137.717,-86.1169,94.6435
137.708,-86.1043,94.8929
137.702,-86.1547,94.9922
137.696,-86.2051,95.0916
137.699,-86.1058,95.1423
137.69,-86.1562,95.2416
137.683,-86.2244,95.341
137.683,-86.2244,95.341
137.677,-86.2748,95.4404
137.677,-86.2571,95.4404
137.677,-86.2571,95.4404
137.678,-86.2081,95.5904
137.669,-86.2586,95.6898
137.666,-86.2096,95.8398
137.779,-86.0673,96.0443
137.774,-85.9872,96.3444
137.773,-85.6416,96.8958
137.775,-85.3449,97.2972
137.799,-84.8317,97.7999
137.799,-84.0886,98.5539
137.831,-83.2461,99.3587
137.866,-82.0549,100.216
138.016,-80.736,101.278
138.166,-79.3521,102.222
