X,Y,Z
96.9959,-20.3711,112.37
91.2686,-20.5292,113.47
88.1471,-20.2231,117.513
78.0831,-20.6945,108.929
63.4902,-20.1632,105.727
62.6262,-20.2158,100.329
90.4147,-20.9573,118.239
89.7856,-20.7338,118.13
62.5316,-21.3418,106.039
60.9517,-22.0133,101.944
60.8862,-21.2535,100.471
98.3363,-20.7716,113.922
91.4759,-21.3114,118.431
90.9258,-21.191,118.319
61.5863,-22.307,106.057
96.3776,-21.3031,112.684
91.604,-21.498,118.673
90.9519,-21.8408,114.151
60.4163,-23.4844,106.484
91.9628,-21.8737,119.279
78.1535,-23.018,109.944
61.8994,-24.593,106.936
59.4737,-24.7747,106.697
92.2554,-22.2145,120.121
58.5134,-25.7272,106.795
105.252,-21.2693,121.923
98.1348,-22.2597,114.317
95.7391,-22.5874,112.998
90.5194,-23.1112,114.815
62.3255,-26.647,107.901
57.781,-26.7716,106.587
99.6825,-22.2699,116.587
99.2178,-22.4443,116.738
92.904,-23.0953,121.62
57.1777,-27.704,106.445
99.7861,-22.4761,116.492
98.8703,-22.6757,116.73
93.5143,-23.5081,122.324
78.4084,-25.6149,110.936
62.6508,-28.5678,108.485
56.6112,-28.4849,106.134
56.0839,-29.2478,105.795
99.5515,-22.7645,116.338
98.2906,-23.0443,116.767
99.3051,-23.3399,116.032
97.8223,-23.4188,116.807
94.2744,-23.9481,123.209
94.9747,-24.1096,113.376
90.1766,-24.757,115.556
99.0706,-23.6109,115.874
98.0446,-23.7656,114.728
63.0906,-30.6556,109.185
98.9568,-23.7429,115.682
98.8376,-24.0026,115.537
96.6589,-24.2562,116.831
95.9664,-24.6679,116.961
78.6442,-28.6804,111.747
106.74,-22.3497,128.883
98.603,-24.185,115.405
95.3717,-25.2346,117.149
89.823,-26.5218,116.465
63.5581,-32.6545,109.868
98.2299,-24.6074,115.335
98.11,-24.7933,115.177
94.5543,-25.7894,117.33
94.2104,-25.6461,113.754
106.797,-22.6193,122.573
97.9859,-25.0003,115.197
93.9597,-26.3561,117.518
64.0283,-34.8487,110.385
60.9126,-35.8186,98.2389
59.2476,-36.1854,97.3303
58.0438,-36.4643,96.4876
95.5142,-26.1816,124.449
97.9622,-25.577,115.253
93.2552,-26.968,117.557
68.5797,-34.585,102.088
67.1383,-34.8027,101.397
65.571,-35.0058,100.693
63.7981,-35.2548,99.8401
62.3574,-35.5011,98.9898
58.5196,-37.5015,101.107
56.8719,-37.2846,100.503
97.8406,-25.8896,115.276
92.6661,-27.4857,117.645
93.6788,-27.0716,114.048
89.5971,-28.4955,117.27
78.8108,-32.0116,112.197
71.3427,-34.4385,103.332
69.7995,-34.5038,102.58
60.4933,-37.8914,101.775
92.0733,-28.0034,117.733
72.9846,-34.3827,104.089
64.4822,-37.1304,110.932
55.1485,-40.0262,101.907
97.6937,-26.4315,115.226
91.4803,-28.6213,117.771
74.4116,-34.5628,104.596
62.8956,-38.6686,102.419
55.0908,-41.6433,101.418
97.7529,-26.7723,115.549
97.5666,-26.8483,115.366
91.1001,-29.1509,117.865
