X,Y,Z
21.5523,-58.9438,-31.2218
21.624,-58.6492,-31.0065
21.739,-58.4767,-30.8818
22.0945,-58.3733,-30.7762
22.2498,-58.5538,-30.8519
22.2133,-58.5778,-30.7117
22.0403,-58.5892,-30.6666
22.0005,-58.8127,-30.53
21.8547,-58.9834,-30.2608
21.6436,-59.0566,-30.1645
21.5169,-59.2723,-30.3845
21.6615,-59.6974,-30.5583
21.7745,-59.9978,-30.7928
21.9617,-59.9512,-30.7245
22.4341,-59.9321,-30.9861
22.6627,-59.8941,-31.2994
22.7789,-60.227,-31.7744
22.9107,-60.5471,-32.2405
23.0405,-60.6773,-32.6847
23.4908,-60.6616,-32.8272
23.9819,-60.4882,-32.7413
24.4567,-60.2365,-32.343
24.8282,-59.8898,-31.726
24.855,-59.5861,-31.5502
24.1937,-59.7362,-31.66
23.7624,-59.8036,-31.869
23.9404,-59.2402,-32.077
24.1223,-58.5242,-32.4955
23.9837,-57.9714,-32.6105
23.6035,-57.723,-32.4916
23.4892,-57.4997,-32.2951
23.6421,-57.5106,-32.3151
23.7436,-57.5843,-32.2894
23.8454,-57.848,-32.2863
24.2465,-58.334,-32.6394
24.5175,-58.4734,-33.1111
24.5483,-58.5146,-33.3154
24.8284,-58.1788,-33.4353
25.0537,-57.8279,-33.6067
25.3468,-57.6011,-33.8703
25.2347,-57.6982,-33.6733
25.1613,-57.7763,-33.6158
25.2219,-57.6559,-33.6015
25.3979,-57.3572,-33.4463
25.5474,-56.8088,-33.2364
25.8759,-56.2175,-32.8195
26.0761,-55.9568,-32.32
25.873,-56.0553,-32.031
25.3921,-56.4761,-31.7955
24.8117,-56.1878,-31.4387
24.7094,-55.6618,-31.0853
25.35,-54.7944,-30.9697
25.8127,-54.156,-31.079
25.8939,-53.4906,-31.213
25.5762,-52.9969,-31.3922
25.496,-52.9513,-31.6427
25.5033,-53.8354,-32.2794
25.7487,-55.0864,-33.5515
26.2794,-55.9373,-34.4603
26.5216,-55.9563,-34.8388
26.4238,-55.5555,-34.8709
26.362,-55.1043,-34.8127
26.1954,-55.1641,-34.4035
