X,Y,Z
-22.0683,-56.7009,73.7078
-22.0431,-56.6094,73.661
-22.0219,-56.6188,73.6556
-22.1269,-56.568,73.7152
-22.1269,-56.5839,73.7152
-22.131,-56.5851,73.7111
-22.0942,-56.4918,73.662
-22.1042,-56.4988,73.6578
-22.1142,-56.5,73.6578
-22.186,-56.5427,73.7917
-22.0942,-56.527,73.9268
-21.9773,-56.4199,74.0082
-21.9463,-56.3267,73.9662
-22.0125,-56.5273,74.042
-22.122,-56.4983,74.011
-22.2374,-56.471,73.9812
-22.3217,-56.3504,73.9147
-22.2764,-56.2736,73.7791
-22.2982,-56.081,73.5928
-22.3861,-55.9005,73.6357
-22.4114,-55.8494,73.7404
-22.3509,-55.7825,73.9727
-22.3605,-55.7313,74.0733
-22.3653,-55.7361,74.0733
-22.3417,-55.7891,73.9738
-22.4627,-55.7283,74.0347
-22.4833,-55.7012,74.1254
-22.5379,-55.7415,74.2739
-22.532,-55.7426,74.2628
-22.4059,-55.83,74.1868
-22.5797,-55.6999,74.0842
-22.654,-55.5941,74.0027
-22.6599,-55.6,73.9927
-22.6809,-55.4276,74.1386
-22.6829,-55.4484,74.121
-22.6748,-55.354,74.0755
-22.7487,-55.4347,74.1194
-22.7998,-55.5142,74.1634
-22.8194,-55.4701,74.2629
-22.806,-55.425,74.3784
-22.8096,-55.3958,74.4769
-22.7419,-55.3335,74.3461
-22.8253,-55.3121,74.3201
-22.7167,-55.1604,74.1526
-22.8263,-55.2371,74.1595
-22.7365,-55.2233,74.29
-22.7464,-55.2233,74.29
-22.7574,-55.2244,74.2801
-22.7808,-55.1727,74.3907
-22.7748,-55.1507,74.3995
-22.7748,-55.1447,74.4045
-22.7596,-55.0504,74.3578
-22.7717,-55.0653,74.349
-22.7232,-55.0019,74.2215
-22.8383,-54.9354,74.2923
-22.807,-54.7889,74.365
-22.9051,-54.7312,74.4337
-23.0157,-54.3485,74.3602
-23.1212,-54.3431,74.3256
-22.9651,-54.285,74.3029
-23.0243,-54.3286,74.1667
-22.9683,-54.3934,74.069
-22.9515,-54.4082,74.0642
