X,Y,Z
228.142,7.61679,-28.9133
228.264,8.33404,-28.6008
228.133,8.6202,-28.6673
227.356,8.39833,-29.397
226.435,8.06093,-30.158
226.309,8.13785,-30.9103
226.773,8.23216,-30.9372
227.442,8.47311,-30.6169
227.684,8.72293,-30.3211
228.127,9.05932,-30.1622
228.801,9.20723,-30.0706
228.861,9.36488,-30.0945
228.431,9.45208,-30.3392
228.049,9.49681,-30.5178
227.914,9.43656,-30.5055
227.764,8.93356,-30.6583
227.465,8.63058,-30.7121
227.469,8.28599,-30.9305
227.692,7.7156,-31.0629
227.639,7.30445,-31.2779
227.666,7.26447,-31.4422
227.805,7.5935,-31.3273
227.71,7.70998,-31.169
227.561,7.69161,-30.9331
227.652,7.33507,-30.7759
227.849,7.29044,-30.5976
227.926,7.35857,-30.7071
227.976,7.33188,-30.6168
227.673,7.43674,-30.6489
227.632,7.01462,-30.796
227.788,6.20313,-30.8075
228.239,5.9612,-30.8202
228.447,6.38344,-30.774
228.293,6.9946,-30.811
228.114,7.31054,-30.8626
228.135,7.33385,-30.8095
228.016,7.09402,-30.781
227.904,6.82584,-30.9212
227.682,6.79608,-31.0271
227.565,7.27888,-30.8585
227.438,7.92241,-30.7776
227.534,8.27295,-30.6307
227.681,8.41285,-30.5735
227.682,8.76217,-30.3594
227.686,8.97886,-30.4153
227.778,8.88219,-30.6602
227.687,8.49216,-30.7933
227.615,8.24901,-30.7208
227.56,8.30138,-30.6748
227.656,8.29606,-30.719
227.481,8.00989,-30.5144
227.525,7.80534,-30.6584
227.497,7.61193,-31.0783
227.321,7.18961,-31.3899
227.385,6.89264,-31.3513
227.259,6.56736,-31.2535
226.822,6.49355,-31.2843
226.239,6.61479,-31.4628
225.779,7.39239,-31.6814
225.109,7.96067,-32.0425
225.07,7.90954,-32.3707
225.141,7.41159,-32.5205
225.075,7.29741,-32.593
224.912,7.7063,-32.5905
224.782,8.54047,-32.2729
224.662,8.61379,-32.1327
224.754,8.15889,-32.3796
225.228,7.4406,-32.6556
225.729,6.92236,-32.7289
226.239,6.63233,-32.4995
226.614,6.74896,-32.0482
227.025,6.757,-31.7495
226.951,6.70416,-31.9186
226.472,6.94606,-32.0937
226.063,7.58364,-32.1407
226.383,7.91933,-31.7289
226.895,8.07231,-31.3696
227.136,7.92401,-31.2036
227.259,8.03729,-31.0789
227.219,8.4083,-31.0432
227.134,8.61716,-30.8508
227.156,8.81986,-30.6812
226.645,8.58395,-30.9164
225.856,8.12796,-31.3254
225.827,7.67676,-31.4575
226.165,7.24677,-31.2412
226.121,7.29997,-31.2485
226.255,7.47252,-31.3058
226.548,7.84603,-31.3336
227.288,8.35728,-30.9521
227.828,8.38713,-30.6959
227.976,7.99479,-30.3882
227.836,7.85136,-30.3126
227.293,8.45242,-30.5511
226.893,9.30112,-30.493
226.714,9.88792,-30.6905
226.681,10.016,-30.517
227.085,10.0327,-30.412
227.283,10.2277,-30.2329
227.268,10.6508,-30.1479
227.434,10.7181,-30.0147
227.75,10.5134,-30.2336
228.236,10.0283,-30.2847
228.473,9.58171,-30.6022
228.211,9.43704,-30.9075
227.716,9.2996,-31.1429
227.175,9.51594,-31.3114
226.324,10.3032,-31.3654
225.946,10.4379,-31.0955
226.645,9.4616,-30.8494
228.194,8.41223,-31.1947
228.865,7.68739,-31.8386
228.088,8.50201,-32.0746
227.83,10.5022,-31.9701
228.837,12.7002,-32.3028
229.577,14.8559,-32.2833
230.266,17.3378,-32.0382
230.37,18.4836,-33.3867
229.76,19.3447,-35.922
230.13,21.1396,-38.0946
230.349,21.5253,-39.4833
229.994,19.9216,-41.0225
230.529,18.514,-42.749
231.178,18.456,-43.3241
232.245,20.4557,-42.9809
232.205,24.0603,-42.5313
230.994,26.9209,-42.5235
231.145,27.9061,-42.8294
231.585,28.5963,-42.8278
231.756,28.6645,-42.6041
232.987,29.7714,-43.0529
233.759,31.5691,-43.9576
232.806,31.9169,-45.1466
232.524,31.2165,-46.4446
232.975,30.3121,-46.6392
232.282,30.5716,-46.0931
231.126,32.0606,-45.2856
230.736,33.4056,-45.309
231.199,33.9661,-45.8572
231.068,34.3372,-46.1661
230.847,34.3626,-46.1104
231.126,33.7831,-46.1992
231.422,33.0077,-46.327
231.785,32.7654,-46.0876
232.13,32.7654,-45.5018
231.856,32.2662,-45.4539
230.46,31.9062,-46.1887
229.491,32.566,-46.7595
229.218,33.5974,-46.9941
229.387,34.3937,-47.0494
229.737,33.8992,-47.2105
230.732,31.7143,-47.741
231.599,29.8977,-48.1266
232.199,29.7799,-48.391
233.252,30.1419,-48.2643
234.261,29.3751,-48.9199
234.715,28.0675,-49.8133
234.919,27.8574,-50.005
235.21,28.9376,-49.0786
234.994,30.654,-48.715
233.312,32.3608,-49.4138
231.82,32.261,-50.7392
231.283,31.4826,-51.3026
231.508,31.3389,-51.4286
232.258,31.5246,-52.3294
233.044,31.0101,-53.6576
233.012,28.9098,-54.9325
232.239,27.0856,-55.7204
231.615,25.646,-56.6744
231.139,24.871,-57.9391
230.879,24.61,-59.6639
230.825,25.3515,-61.2095
230.709,26.4973,-62.0836
229.036,27.6525,-62.9132
227.305,27.6755,-63.6435
226.179,27.1227,-63.7223
226.243,27.0965,-63.4863
227.149,27.4003,-63.3865
227.366,27.8063,-63.5605
226.981,28.2967,-63.6205
227.104,28.787,-63.334
227.163,29.3791,-63.1158
225.852,29.4141,-63.7237
225.188,29.0807,-65.1684
225.922,28.5806,-66.2515
226.96,28.4073,-66.5564
227.339,30.174,-65.5078
228.027,32.7401,-63.75
227.688,34.3089,-63.619
226.081,35.8677,-64.1482
224.623,37.2073,-64.6698
223.673,38.6333,-65.4471
222.475,40.0383,-67.1217
221.699,41.6824,-69.1526
222.001,41.4179,-71.037
222.847,40.0873,-72.0928
223.583,39.0421,-72.7821
224.498,40.2027,-72.6923
223.852,42.6878,-72.6257
221.565,45.772,-73.3221
220.182,46.3007,-74.1161
220.048,45.6772,-74.521
219.436,44.9398,-75.2961
217.7,44.671,-76.4691
216.149,44.5027,-77.3489
216.151,43.6079,-77.7598
215.27,42.8538,-78.6987
214.268,43.7608,-78.7189
215.909,45.55,-77.2199
216.892,46.4976,-77.1134
216.482,46.8541,-78.0565
215.314,46.7806,-79.0914
215.234,46.8227,-79.6119
216.502,47.1411,-80.6681
217.403,48.1365,-81.5207
218.068,49.9386,-81.2871
217.345,52.0298,-81.1966
215.827,52.2836,-82.1088
215.79,51.6989,-82.1962
218.004,49.9512,-81.5428
219.849,48.7026,-80.8468
220.631,48.4233,-79.8617
220.551,48.7474,-79.2772
220.582,49.0808,-79.1603
220.318,49.4474,-79.027
219.919,49.9257,-79.2697
219.323,50.2871,-79.793
218.899,50.713,-79.8417
218.039,51.2576,-79.7596
216.681,52.5299,-79.4614
215.388,54.3827,-78.9112
215.715,55.2664,-78.6696
218.823,55.8036,-77.679
220.944,56.0262,-76.9138
220.219,53.9991,-77.5858
217.701,49.8737,-78.7823
216.324,45.7725,-78.2414
216.563,45.0439,-76.1434
218.005,48.9552,-75.0338
219.115,49.7254,-75.2672
219.107,47.6505,-75.8097
219.765,46.2261,-75.9203
220.67,45.4476,-75.1588
221.957,44.5658,-72.7407
222.578,43.7262,-70.7266
223.074,42.4084,-70.2687
224.182,41.2419,-70.1616
225.458,40.1341,-69.2024
226.783,40.1009,-67.843
226.376,41.462,-67.6447
225.726,42.2914,-67.6471
225.369,40.9584,-66.8048
227.088,38.8892,-64.7764
228.766,38.6232,-63.3038
230.049,38.7461,-62.1972
230.591,37.152,-62.0886
230.955,34.7789,-62.7742
231.879,33.0734,-63.756
232.76,33.2263,-64.0554
232.556,34.3738,-63.887
231.543,35.1504,-62.8609
230.944,35.2462,-62.2801
231.882,35.2447,-61.7864
233.328,36.0684,-61.1696
234.959,36.0574,-61.492
235.843,35.1187,-62.559
236.388,33.4397,-62.7242
236.673,32.4492,-62.1155
237.634,31.6127,-62.2284
238.718,31.5193,-62.2796
238.644,31.5859,-62.3499
238.684,31.3221,-61.8792
238.749,30.4265,-61.3903
238.557,29.5,-60.9746
238.641,29.1235,-60.5361
238.776,28.5764,-60.1107
238.996,27.7622,-59.7902
239.166,27.8973,-59.4131
238.512,29.2659,-58.78
237.02,29.9951,-58.4321
236.5,29.7427,-58.7178
238.481,28.1272,-58.8255
240.318,26.1031,-58.123
240.284,24.8095,-56.7558
240.213,24.1161,-56.2106
240.099,24.9469,-56.3039
239.531,26.0312,-56.5899
239.261,25.5398,-55.9516
239.825,23.4416,-55.1263
239.975,21.9069,-54.6901
238.97,23.1306,-54.5056
238.936,24.8021,-53.5193
240.318,25.5033,-52.3629
241.74,25.3165,-52.0831
241.332,25.4671,-52.1102
240.512,25.0345,-51.5162
240.215,24.5305,-50.2259
241.147,24.9996,-48.3359
243.23,25.8928,-46.635
245.109,25.79,-45.2591
246.054,25.8669,-43.2167
245.694,26.0612,-41.471
246.691,24.6282,-40.6527
247.012,23.2245,-39.4652
245.971,22.4918,-38.1747
246.45,22.525,-36.8093
248.992,23.2887,-33.9158
249.46,24.4922,-30.5238
248.334,25.4251,-28.5926
247.208,25.8021,-28.3934
246.48,24.9938,-28.1659
245.789,25.5051,-27.0736
246.659,26.1744,-25.612
248.177,25.8784,-24.2521
249.428,25.6837,-22.8835
248.639,26.3547,-21.269
248.278,26.4394,-19.9113
250.236,25.9429,-18.5338
250.733,26.1955,-17.5163
249.385,26.4899,-16.0229
247.95,24.9263,-15.0535
248.234,25.0239,-13.8818
250.052,28.3793,-12.5291
250.902,30.0936,-12.1823
252.114,29.4792,-12.2029
253.4,29.5519,-11.8111
252.181,29.6971,-11.384
250.67,29.5607,-10.3741
251.019,29.6475,-8.62084
251.37,30.6428,-7.51787
249.065,31.4081,-7.79153
246.463,31.5469,-7.32235
245.722,31.9912,-5.76031
244.899,32.7836,-3.89351
244.167,33.4818,-3.31172
244.739,33.6737,-3.15067
246.485,34.3903,-2.49214
247.732,35.5517,-1.5047
246.264,36.3527,-1.19321
243.306,37.1914,-0.695683
241.817,38.354,1.03735
242.749,37.243,2.66848
243.329,35.6088,3.41679
243.087,35.7755,3.90807
243.047,37.1644,4.82154
243.173,38.8233,5.51682
243.334,41.3091,6.03097
242.593,42.8769,6.70043
241.314,43.2492,7.45897
240.923,43.9256,9.68782
241.825,43.655,11.5294
242.433,43.0221,11.657
241.536,43.5038,11.5817
240.114,44.8892,11.8188
238.802,45.9803,12.2258
237.169,45.925,12.3561
236.487,46.2739,12.7622
236.769,47.2402,13.4666
237.805,47.9896,14.1213
238.501,48.5994,14.6818
238.141,48.278,14.5218
237.264,48.0236,14.1064
236.696,48.5143,14.4868
236.381,49.9191,15.5278
236.464,51.0241,16.5186
235.998,51.768,17.2801
235.379,52.1197,17.873
235.721,53.0946,18.721
236.153,55.1436,19.8598
234.657,55.7821,19.9569
233.306,54.2491,19.555
232.873,53.386,19.3574
233.096,52.89,18.7184
233.717,52.8292,18.3249
234.644,52.7894,18.032
235.403,51.631,17.5202
235.88,50.2852,16.8884
236.128,49.7491,16.8691
236.148,49.9549,17.3844
235.842,50.6694,18.1556
235.057,51.2999,18.7384
234.209,51.3779,19.1284
233.557,51.0722,19.0831
232.648,50.8402,18.9399
232.089,51.1874,18.8752
231.841,52.1679,19.2235
232.097,52.9207,19.5693
232.692,53.4655,19.5216
233.313,53.9391,19.6267
233.475,54.0839,19.7828
233.543,53.8322,19.8763
233.154,54.0446,19.8897
232.535,54.8151,20.0637
231.836,55.4205,20.222
231.425,55.6708,20.3568
231.432,55.4287,20.2137
231.404,55.0164,20.077
231.083,54.1246,19.5935
230.603,53.0279,19.1525
229.823,52.9858,18.4525
229.126,53.7049,18.1572
229.13,54.1122,18.1955
229.541,55.2559,18.5262
230.281,56.3675,18.6971
231.742,54.6843,18.0607
233.452,51.3801,16.7315
234.475,50.3111,15.4212
234.13,52.6166,14.8731
233.014,53.6207,13.1435
232.752,53.3382,11.2309
233.153,52.2475,9.81454
232.88,51.9581,8.77182
232.355,50.4331,7.05578
232.107,48.7154,5.38021
233.181,47.4851,4.60031
235.043,47.634,4.38964
236.427,48.1778,4.22471
235.961,49.6452,4.02066
234.574,50.2176,3.7665
234.079,49.5109,2.86025
234.602,48.3332,2.28646
234.861,48.1331,1.40202
234.263,48.4504,0.0694225
234.88,49.0195,-0.572862
235.637,49.0824,-0.80432
235.385,48.9884,-1.09329
234.277,49.2707,-1.38676
233.448,50.4283,-1.51502
233.541,51.4475,-0.551756
234.065,51.7848,0.706352
234.821,51.0791,0.964653
236.484,49.6257,0.632256
238.332,48.4955,0.663036
239.332,47.9912,-0.204425
238.96,47.1341,-3.54431
239.422,45.9247,-7.09129
239.785,45.8344,-8.01884
239.787,46.5867,-8.59958
239.297,47.1064,-8.62126
239.891,47.544,-8.39152
240.95,47.4068,-8.08454
241.588,47.1002,-7.82623
241.406,46.6312,-8.06481
241.18,45.5648,-8.3621
240.906,44.569,-8.36545
241.123,45.0015,-8.26301
241.104,46.4707,-8.25155
241.02,47.3266,-8.2866
241.342,46.9543,-8.49299
241.955,45.6994,-8.50905
242.851,43.9021,-9.3319
243.42,43.1216,-11.0643
242.772,42.8467,-12.5792
242.341,42.6214,-13.7738
242.771,41.7225,-15.3062
243.274,41.3402,-15.6195
243.131,40.865,-15.3912
243.089,40.7851,-15.0535
243.298,41.388,-14.4446
243.096,42.7189,-13.4422
242.555,42.9139,-13.2756
242.561,41.5569,-13.2954
243.416,39.3873,-12.6312
244.43,38.9306,-10.9984
244.605,39.1798,-9.62895
243.778,38.4164,-8.9162
243.103,37.6222,-8.57663
242.252,37.1284,-8.35157
241.261,37.4488,-8.76539
241.024,37.7115,-9.41045
241.439,37.7892,-9.35613
241.165,38.0773,-8.93349
240.274,38.1985,-8.87186
239.793,38.2632,-8.94739
239.709,38.0042,-8.90437
240.005,37.0799,-8.67092
241.261,36.5409,-7.03987
242.728,36.3885,-5.3846
241.837,34.4967,-5.20931
241.521,33.2077,-5.00267
242.551,33.1513,-4.62063
242.784,33.9523,-4.50729
241.544,35.4926,-4.8757
240.207,36.3167,-5.96098
239.732,36.842,-6.89042
239.138,37.2213,-7.00995
238.462,37.6621,-6.78845
238.528,38.2087,-6.37978
239.104,38.8035,-5.85543
239.565,39.5683,-5.39899
239.864,39.5166,-5.21944
239.97,38.3919,-5.78027
239.65,36.2966,-6.8442
238.436,34.6626,-8.3766
237.459,34.006,-10.1875
237.374,34.2798,-10.8621
237.302,34.7376,-11.5394
238.031,35.0578,-12.1797
239.182,35.5358,-12.63
240.404,35.317,-13.2495
240.742,34.4022,-14.0707
240.297,33.5859,-14.4136
239.46,32.9859,-14.8486
239.647,32.5914,-16.1198
241.204,32.3595,-17.169
242.937,31.1969,-17.5031
241.853,29.6372,-18.79
238.485,31.3086,-20.6599
237.658,32.3432,-23.0571
238.857,31.5343,-25.8432
239.481,31.9719,-27.6691
238.96,32.0008,-28.2418
238.65,31.7763,-28.573
239.828,31.764,-28.5497
240.686,31.6628,-28.6321
240.181,31.3785,-29.3326
238.536,31.8423,-30.2302
237.319,32.855,-30.8385
237.599,32.7611,-31.882
239.932,30.0576,-33.3009
240.993,27.7391,-34.3442
239.297,26.6898,-35.1414
236.588,26.4196,-35.8833
236.074,26.4303,-37.0919
237.794,24.7258,-39.3573
240.165,23.5239,-40.6397
240.868,23.2678,-41.9329
240.089,22.1829,-43.3368
238.969,20.2966,-44.8495
238.414,19.5697,-46.412
237.865,20.7537,-48.5302
237.323,22.5538,-50.3249
237.781,24.5815,-51.5999
238.428,27.9421,-51.6846
239.007,30.4316,-51.7179
238.468,29.2752,-52.7379
235.998,27.5588,-54.5936
234.208,27.4904,-55.4041
234.521,27.6464,-56.0284
236.034,26.9263,-57.1341
237.238,26.1757,-58.4287
236.6,27.1268,-59.4135
235.307,28.2171,-59.7618
234.613,29.3142,-60.2012
235.17,29.2647,-60.5784
233.829,28.341,-62.1387
230.636,29.3337,-65.0973
228.405,32.8477,-66.5349
227.739,35.274,-65.4026
227.97,34.8686,-64.1031
229.091,33.049,-64.3584
230.783,31.7558,-65.5196
230.932,32.5143,-66.8155
230.157,34.9797,-67.7204
229.84,36.2787,-67.9202
230.852,34.8786,-67.7438
231.871,32.6136,-67.7056
231.753,32.5279,-68.2909
230.678,34.3397,-69.4406
229.544,36.0785,-71.2049
230.539,36.1325,-72.6714
231.462,35.9833,-73.6284
230.573,36.6888,-73.8882
228.242,38.5762,-74.3789
228.12,41.0041,-76.4495
228.517,41.6813,-77.432
228.506,39.0437,-77.873
226.822,35.0249,-79.5182
225.526,34.3942,-80.7446
225.922,36.125,-80.0138
226.875,39.3901,-78.3204
226.178,41.8998,-77.3779
225.418,42.4453,-77.6278
224.603,41.5273,-78.6842
223.46,41.781,-79.4161
222.158,43.8157,-79.6048
220.492,46.5116,-79.6002
219.457,48.1675,-79.5479
219.675,47.7324,-79.4546
219.501,46.7214,-79.9189
217.786,45.8673,-81.2284
216.964,46.545,-82.403
217.8,48.1037,-82.3887
218.21,49.204,-81.5015
217.616,48.9953,-80.4845
218.707,49.9958,-79.9823
218.857,51.3413,-79.7911
217.385,53.0908,-79.8224
215.615,54.0819,-81.2914
214.884,54.0822,-83.4848
214.441,54.7473,-84.066
213.589,58.177,-83.8522
213.405,61.8096,-83.2933
214.82,61.6594,-83.1395
216.344,60.1847,-83.393
215.116,60.9663,-85.056
212.218,64.3081,-87.0067
211.312,67.1533,-87.7245
211.697,67.5405,-86.5712
210.614,67.3664,-86.5347
208.39,67.9237,-87.4846
205.236,69.5714,-88.0982
203.086,71.2333,-87.8244
201.983,72.8286,-87.3253
200.481,70.6682,-87.9115
199.929,67.0885,-89.5298
199.886,68.1695,-90.2964
199.715,74.6993,-89.4635
200.384,81.4205,-87.5459
200.576,85.408,-85.72
200.258,86.0992,-85.3029
201.598,87.0294,-85.1047
201.696,86.9236,-84.9494
202.106,89.7282,-83.0537
202.195,93.9089,-80.4193
201.216,95.471,-78.8077
200.269,94.6608,-78.961
199.909,93.3305,-79.9419
199.842,91.9014,-80.5956
200.148,91.2764,-80.6928
200.346,91.6026,-80.7778
200.259,92.1094,-81.0726
200.54,92.1893,-81.6289
201.031,91.4475,-82.3523
201.497,90.256,-83.095
201.564,89.4602,-83.6129
201.631,89.1081,-84.2739
201.678,87.607,-85.4479
202.023,85.519,-86.6968
201.572,84.7127,-87.5494
200.603,85.8595,-87.1539
199.435,86.5353,-86.5344
199.703,85.7734,-86.8705
199.639,84.6032,-87.9194
199.208,83.1254,-89.2543
198.953,79.4512,-90.3027
198.751,76.5383,-91.1733
198.275,78.3513,-91.109
203.068,80.3527,-91.1534
209.361,79.8448,-91.5674
211.627,81.6054,-91.2057
209.382,83.2972,-92.0309
205.709,80.7531,-95.4137
205.238,76.7144,-97.5324
206.988,75.1402,-97.0981
208.136,74.7077,-96.2906
207.634,72.9069,-96.4807
204.71,70.4585,-97.2537
201.038,68.7622,-96.6665
202.049,67.2774,-96.6326
206.445,64.6078,-98.267
210.896,60.1395,-100.03
215.07,56.3973,-101.195
216.203,56.3212,-100.96
215.084,57.3539,-100.067
214.387,57.5433,-99.8602
216.517,56.4615,-100.025
220.47,54.9936,-99.1058
223.082,54.9296,-97.2301
222.631,55.6401,-95.5533
221.681,54.0679,-95.0676
223.126,50.4337,-95.7639
225.553,47.6902,-96.1673
226.829,47.0181,-96.4389
226.612,48.9404,-95.4169
227.221,49.2626,-93.9636
229.339,47.2811,-92.9037
229.71,45.2954,-92.7907
225.253,44.1747,-92.8933
224.089,42.0326,-93.1835
228.312,40.3739,-92.4413
231.213,37.1212,-91.3224
231.216,34.1787,-90.9123
233.201,32.5914,-90.7304
236.264,32.4796,-89.6587
238.391,30.7276,-88.3692
238.554,30.7597,-86.1882
236.143,32.083,-84.2162
233.776,31.6474,-82.0163
233.837,29.5356,-80.872
236.135,28.0204,-80.7055
237.594,27.4303,-81.2307
236.256,26.2073,-80.9254
234.69,26.4604,-79.2985
235.73,27.2301,-77.9918
236.82,26.5558,-78.1129
237.52,24.9568,-77.0686
239.545,25.3197,-74.4559
241.882,27.1073,-73.6348
244.306,28.4913,-73.4092
246.425,28.1743,-71.8692
248.66,25.2996,-69.939
248.98,21.4222,-69.0335
246.979,19.3563,-68.123
244.755,19.7291,-66.5382
244.24,21.2399,-65.2864
245.817,22.0989,-65.0878
248.335,21.5873,-64.5601
250.375,21.7011,-63.1375
250.083,22.498,-60.7804
248.901,22.208,-58.8158
249.146,21.3079,-57.736
252.95,20.2122,-56.365
254.59,19.7826,-54.4296
252.861,19.8322,-51.4181
252.475,20.0253,-47.5276
252.203,21.2299,-45.0489
252.665,22.9324,-43.2477
253.707,23.9759,-41.6087
252.534,25.1027,-39.5027
251.301,25.4896,-37.2049
253.687,27.3038,-33.0244
253.633,29.5501,-30.4089
252.806,29.1369,-29.2277
255.759,27.7397,-27.6865
256.363,26.3201,-25.0613
255.081,26.4099,-21.9508
255.034,27.7677,-18.2071
255.376,29.2903,-15.8855
255.778,30.6884,-13.9961
256.255,31.6285,-12.3298
255.115,31.7443,-11.3782
253.021,30.9835,-10.2107
252.289,31.1334,-7.69229
254.09,34.2812,-3.6542
255.62,38.2998,-0.197626
254.526,40.9042,1.48448
251.1,42.564,3.34118
248.337,42.2811,4.83971
246.984,41.746,5.65368
246.96,41.3847,5.91575
245.693,42.1951,6.69047
244.586,44.5097,8.69594
244.786,47.6404,11.1625
244.628,50.3305,12.967
245.03,51.6296,13.8983
245.774,52.0676,15.3174
244.886,53.9104,17.1361
242.921,55.3674,17.5069
241.501,56.2263,17.4668
240.439,55.6331,17.74
239.508,56.0577,18.9373
239.062,58.6297,21.5372
237.996,60.6525,23.5446
236.01,61.6181,24.3881
235.119,62.2462,25.3171
235.207,62.893,26.3516
234.778,65.2846,27.4202
232.659,68.1862,28.2458
229.642,69.2585,28.2336
228.168,68.4628,28.6598
228.259,68.5655,30.2131
227.404,70.3465,31.0721
225.442,73.5917,32.4134
224.351,75.1865,33.9397
223.719,75.3515,34.6802
222.192,76.0469,34.9866
219.915,77.8808,36.2737
217.784,79.3655,38.1713
216.778,80.1639,39.513
215.92,80.3859,39.7604
214.158,81.0644,39.6462
210.308,81.7097,39.3561
207.386,81.888,39.9085
206.48,82.2225,41.7825
205.721,82.5665,43.3958
204.203,82.004,43.8849
202.965,81.9002,44.1781
201.962,82.4287,43.9775
200.982,83.4493,43.9936
199.554,84.8661,44.8476
197.827,85.4813,45.453
195.473,85.6964,45.3902
193.05,85.9885,45.3817
191.582,86.1563,45.9877
190.885,86.1187,46.6627
189.56,86.4261,46.8652
187.112,87.0363,46.7444
184.898,86.8891,46.722
184.075,86.7521,46.8412
183.817,87.7031,47.5727
183.037,89.3991,48.4258
180.87,90.5052,49.2181
179.136,90.5639,49.7525
177.545,90.5279,49.7899
175.986,90.932,49.6868
174.177,91.18,49.99
172.117,90.2237,50.5213
170.122,89.6188,50.3303
168.255,90.647,50.2513
167.477,92.4168,50.717
166.569,94.0592,51.6749
165.278,94.94,52.6503
163.696,95.4001,53.4709
161.88,94.9162,53.2286
159.59,94.4417,52.365
156.927,94.0255,51.147
155.978,94.2517,50.0319
155.732,94.9456,49.3403
155.394,95.9245,49.7688
154.897,96.6433,50.8293
154.353,97.1972,52.0085
153.931,97.3594,52.5712
153.764,97.1435,52.5192
