X,Y,Z
157.379,-16.278,-17.9192
157.384,-16.4071,-18.0171
156.866,-16.2554,-17.9515
157.077,-17.0049,-17.7091
157.932,-18.4409,-17.697
158.004,-19.458,-18.0236
157.128,-19.6363,-18.2668
156.03,-19.6824,-18.7765
155.109,-19.8931,-19.4493
154.561,-19.7975,-19.6606
154.543,-19.5108,-19.8202
154.754,-19.4716,-19.8399
154.504,-19.0897,-19.7582
153.663,-19.1356,-19.4065
154.211,-19.2596,-19.1548
154.459,-19.111,-18.9735
153.712,-18.7644,-18.6766
152.899,-19.0857,-18.4965
152.849,-19.5199,-17.9395
153.361,-19.3391,-17.4156
153.449,-18.637,-16.8072
152.752,-19.1069,-17.3129
152.788,-21.3717,-17.9498
153.254,-22.8798,-17.5811
153.597,-22.4548,-16.7799
153.332,-21.0025,-16.1445
152.794,-20.09,-15.5421
151.866,-19.5729,-15.0275
151.594,-19.7964,-15.0754
151.565,-20.1495,-15.4518
151.72,-19.8364,-15.7092
151.716,-19.0445,-15.4658
152.434,-19.1873,-15.2481
152.455,-19.3413,-15.0359
151.802,-19.0074,-15.4556
152.073,-18.571,-15.1884
152.361,-19.0772,-14.3271
152.419,-19.0926,-13.7919
152.57,-18.9062,-13.6228
152.936,-19.4528,-13.5822
153.386,-19.7581,-13.7347
153.547,-19.8161,-13.5248
153.582,-19.6766,-13.4292
153.892,-19.8556,-13.5266
154.161,-19.9929,-13.5756
154.097,-20.1561,-13.7256
153.967,-20.0919,-13.9524
153.792,-20.1477,-14.2361
153.805,-20.6746,-14.557
153.64,-20.8545,-14.3118
152.903,-20.2006,-14.2694
152.44,-19.3523,-14.1812
152.757,-18.7054,-14.1246
153.848,-18.256,-13.8034
154.739,-18.4216,-13.7322
155.138,-18.2837,-14.3187
154.702,-17.9174,-14.9669
153.919,-17.847,-15.9236
153.511,-17.851,-16.3869
153.478,-18.5549,-16.6467
153.257,-19.482,-16.9537
153.821,-19.3314,-16.4731
154.646,-18.7005,-15.7102
155.036,-18.2525,-15.6643
155.277,-18.225,-15.7363
155.478,-18.6299,-15.9925
155.717,-18.8866,-16.2995
155.977,-19.1114,-16.4881
155.921,-18.885,-16.492
155.928,-19.2595,-16.6341
156.29,-20.6749,-16.8561
156.459,-22.2422,-17.065
157.369,-23.4528,-16.9436
157.986,-23.7309,-16.6695
158.402,-22.743,-16.0466
158.731,-22.0438,-15.6919
158.987,-22.4751,-15.6046
158.41,-23.5744,-16.1438
157.308,-24.2668,-16.7413
156.723,-24.7343,-16.7005
156.495,-24.8733,-16.4694
154.821,-25.1219,-15.5772
153.348,-26.3415,-14.6665
152.464,-25.6505,-14.2224
150.889,-24.2544,-13.6654
150.083,-24.7084,-13.9098
150.348,-26.0405,-14.7144
150.709,-25.1861,-14.4389
151.001,-23.1347,-13.3105
150.912,-22.5523,-12.243
150.228,-23.1967,-11.5003
149.807,-23.7603,-11.0922
149.472,-23.29,-10.8119
149.005,-23.2546,-10.7984
148.806,-23.0961,-10.9735
148.86,-22.4551,-11.298
148.482,-22.5452,-11.5766
148.047,-23.1482,-11.3158
147.88,-23.06,-10.805
148.059,-22.9241,-10.2495
148.184,-23.1731,-10.317
148.182,-23.989,-10.8963
148.02,-24.6835,-11.3073
148.156,-25.1043,-11.1827
148.194,-25.064,-10.8187
147.684,-24.9968,-10.9837
147.055,-24.9927,-11.1778
146.624,-24.8542,-11.3066
146.71,-24.6908,-11.2882
146.706,-24.7695,-11.208
146.909,-24.9315,-11.1556
147.07,-24.9041,-11.0263
147.223,-24.6637,-10.9479
147.534,-24.5077,-10.8148
147.82,-24.3966,-10.7665
148.336,-24.9433,-10.6709
148.949,-25.3118,-10.4564
149.065,-25.0475,-9.8826
149.068,-24.1982,-9.83755
149.003,-23.5777,-10.0072
149.092,-23.7034,-10.3356
149.337,-24.4129,-10.8222
149.114,-24.7149,-11.2765
149.04,-23.7292,-10.8834
149.462,-23.274,-10.2319
150.29,-24.3705,-10.6068
150.018,-25.0135,-11.0392
149.241,-24.5041,-10.592
149.287,-24.3594,-10.7686
150.164,-24.8612,-11.7
151.114,-24.3769,-11.64
151.556,-23.3754,-10.9593
151.407,-22.7824,-10.9846
150.878,-22.9133,-11.758
150.384,-23.197,-12.2361
150.249,-23.0428,-12.3817
150.671,-22.61,-12.2388
151.987,-22.9234,-12.3706
152.924,-23.8707,-12.2079
153.021,-24.2723,-11.817
152.441,-24.8014,-11.7266
152.009,-25.3913,-11.8194
152.016,-25.7476,-11.8364
152.179,-26.1396,-11.9331
151.642,-25.9347,-11.973
150.43,-24.8462,-11.7389
149.834,-24.1938,-11.7392
149.696,-24.3274,-12.0552
149.661,-24.8344,-12.1315
149.141,-25.3041,-11.9934
148.73,-25.4406,-11.7939
149.115,-25.7159,-11.6737
148.542,-25.6216,-11.746
147.435,-24.5285,-11.6908
147.034,-23.6703,-11.6938
147.557,-24.121,-11.639
148.037,-25.2658,-11.7083
147.941,-25.8261,-11.2171
148.141,-25.6703,-10.524
148.566,-25.8735,-10.2299
148.668,-26.4001,-10.5579
148.616,-26.5569,-10.7454
147.991,-26.1385,-10.3718
147.351,-26.051,-10.0176
146.993,-26.2021,-10.0983
146.915,-26.1803,-10.0517
146.835,-26.1756,-10.1666
147.206,-26.6466,-10.6367
147.373,-26.9281,-10.9058
147.279,-27.2457,-10.6387
147.546,-27.4378,-10.1441
147.9,-27.1737,-9.79723
147.971,-26.689,-9.67166
148.126,-26.2208,-9.91671
148.184,-26.0547,-9.76156
147.931,-25.7512,-9.50418
147.575,-25.5376,-9.48654
147.16,-25.5662,-9.713
146.865,-25.7491,-9.66235
146.707,-25.7053,-9.60525
146.871,-25.6941,-9.51973
147.026,-25.7543,-9.63394
147.211,-25.6493,-9.51603
147.16,-25.3156,-9.46745
147.051,-25.3882,-9.58707
147.148,-25.6533,-9.72739
147.341,-25.8663,-9.75412
147.294,-25.7623,-9.71965
147.242,-25.6774,-9.72576
147.131,-25.4546,-9.66454
147.387,-25.4651,-9.7438
147.347,-25.585,-9.77848
147.254,-25.927,-9.97118
147.366,-26.109,-9.8227
147.527,-25.8999,-9.66623
147.782,-25.8641,-9.43914
148.152,-26.0531,-9.41826
148.462,-25.8264,-9.33846
148.403,-25.6582,-9.22384
148.557,-25.5397,-9.41947
148.44,-25.358,-9.5912
148.135,-25.2436,-9.61547
147.803,-24.727,-9.34475
147.952,-24.7405,-9.3325
148.377,-25.2562,-9.90136
148.469,-25.5367,-10.3183
148.237,-25.453,-10.2822
148.247,-25.6176,-10.3077
148.67,-26.0689,-10.3755
148.81,-26.3624,-10.299
148.314,-26.2789,-10.2711
147.77,-26.1399,-10.4648
