sep=,
X,Y,Z
100.138,-21.8509,36.7478
100.084,-21.8317,36.8438
100.056,-21.9342,36.718
100.159,-22.0278,36.6809
100.085,-22.0662,36.674
100.095,-22.0794,36.8273
100.052,-21.9416,36.7896
100.04,-22.0334,36.8008
100.139,-21.9076,36.8435
100.067,-21.9068,36.8249
99.9945,-21.9163,36.835
100.045,-21.9273,36.9286
100.01,-21.9122,36.8813
100.106,-21.875,36.7551
100.09,-21.8249,36.8412
100.065,-21.7437,36.946
100.017,-21.6881,36.7991
100.044,-21.6481,36.8106
99.9899,-21.6228,36.6268
100.107,-21.5606,36.8201
100.048,-21.5735,36.8233
99.8957,-21.4823,36.8429
99.9414,-21.3961,36.8362
99.963,-21.4649,36.8516
100.082,-21.3154,36.8932
99.914,-21.3093,36.7606
99.8785,-21.2555,36.7521
99.9107,-21.3193,36.9386
99.9512,-21.3385,36.938
99.877,-21.2227,36.8013
99.9971,-21.2798,36.9657
99.9287,-21.0595,36.8504
99.9305,-21.0285,37.0237
99.8078,-21.0746,36.9562
99.8301,-21.0056,36.9305
99.8592,-21.1405,37.0319
100.122,-21.2156,37.161
100.157,-21.3167,37.0729
100.101,-21.222,37.143
99.9604,-21.2568,37.053
99.9833,-21.1597,36.9611
100.196,-21.3268,37.0045
99.972,-21.3497,37.0215
100.047,-21.503,36.9956
100.035,-21.4119,36.9383
99.8642,-21.3306,37.0209
99.9006,-21.4395,37.0441
99.9556,-21.4786,36.8847
99.91,-21.3524,36.9131
99.8778,-21.4296,36.8925
99.8305,-21.3881,37.0782
99.7618,-21.4688,37.0936
99.8499,-21.5683,37.1798
99.7559,-21.6297,37.0881
99.67,-21.5646,37.1584
99.7903,-21.5438,37.1322
99.7005,-21.6901,37.1548
99.7424,-21.6663,37.1012
99.6188,-21.6624,37.1734
99.6212,-21.741,37.1568
99.2979,-21.5406,37.2383
99.5443,-21.6759,37.0846
99.6245,-21.83,37.1212
99.6007,-21.901,37.1772
99.4994,-21.8006,37.1756
99.5684,-21.9007,37.2483
99.5516,-21.838,37.1145
99.4588,-21.8741,37.1524
99.6197,-21.916,37.187
99.5889,-21.8243,37.2676
99.5033,-21.8585,37.2625
99.5315,-21.8594,37.436
99.468,-21.8688,37.417
99.3957,-22.0283,37.4083
99.5076,-21.9369,37.3958
99.4408,-21.9859,37.3962
99.553,-22.0264,37.3796
99.546,-21.9662,37.4813
99.5353,-22.0189,37.5715
99.5022,-22.0501,37.5112
99.4624,-22.054,37.4705
99.4938,-22.104,37.4747
99.4747,-22.1599,37.6049
99.4937,-22.125,37.648
99.5634,-22.0601,37.7897
99.6646,-21.95,37.8226
99.6786,-21.8117,37.8997
99.5784,-21.8473,38.0103
99.5028,-21.8354,38.0887
99.5346,-21.8295,38.0997
99.5366,-21.8197,37.9695
99.5097,-21.8476,38.1189
99.5557,-21.749,38.1469
99.4174,-21.7665,37.97
99.4671,-21.8346,37.9302
99.4666,-21.6727,37.9326
99.5357,-21.7376,37.9025
99.5295,-21.7587,37.8749
99.4575,-21.7193,37.7989
