sep=,
X,Y,Z
-70.2847,-76.5683,39.6999
-73.6539,-75.1928,39.3594
-89.1949,-75.8215,32.2548
-100.605,-82.4542,33.1059
-110.219,-91.8731,19.4687
-113.734,-84.4778,1.96085
-92.808,-78.6351,-22.5588
-78.1563,-79.4355,-28.8884
-76.583,-79.8162,-29.2338
-68.6253,-76.9835,40.8298
-75.5936,-82.3783,46.0563
-90.2897,-91.0399,34.3437
-97.6722,-101.061,32.6219
-108.25,-96.762,18.5257
-114.975,-94.6943,0.6461
-97.8828,-87.9016,-22.2625
-77.215,-86.2793,-31.1829
-75.1025,-80.4916,-29.4371
-68.9208,-80.0454,41.8251
-74.2451,-88.2899,52.899
-87.5995,-95.8651,35.8427
-83.4962,-108.977,27.6508
-94.73,-120.207,21.035
-94.659,-111.798,-13.6954
-88.7189,-96.3864,-26.8416
-77.1196,-87.7499,-29.6489
-71.8415,-82.8034,-30.8424
-65.3863,-78.8744,44.1136
-74.7533,-95.0883,52.6868
-81.7923,-107.642,39.4226
-80.847,-109.957,31.0516
-91.8402,-124.466,17.359
-89.3857,-120.451,-8.5793
-81.8814,-108.976,-26.9569
-75.84,-97.5941,-30.4302
-68.9489,-86.0257,-31.3189
-63.7094,-77.432,45.6228
-62.3397,-94.2549,60.7155
-68.9228,-110.04,51.2331
-66.4589,-125.259,22.9453
-69.0836,-125.278,18.0912
-60.3895,-128.559,-4.4958
-68.8675,-112.318,-32.1443
-64.8909,-91.0749,-32.9232
-63.4724,-76.4206,-41.1811
-62.7516,-76.974,46.2056
-56.6993,-91.7166,59.532
-41.9621,-114.071,41.1151
-53.7358,-125.013,29.3645
-40.4037,-116.327,3.29707
-39.7626,-116.494,2.95215
-40.5851,-115.885,-18.2799
-58.5529,-97.9101,-34.4157
-62.3377,-77.6458,-41.6441
-61.9492,-76.9142,46.7025
-49.0131,-90.4048,63.1384
-30.8882,-103.093,36.6328
-33.3126,-101.386,32.0752
-38.1485,-118.358,3.36654
-38.4862,-116.991,2.18442
-28.8263,-105.327,-19.6926
-49.0577,-90.7393,-45.1123
-61.4663,-78.1238,-41.9725
-59.4255,-77.8692,46.5807
-43.8518,-82.3551,50.9828
-30.3314,-102.518,39.4731
-31.8274,-101.192,33.2375
-16.6313,-93.7605,18.4992
-15.4396,-104.644,-9.17135
-25.622,-103.144,-20.6549
