sep=,
X,Y,Z
121.052,45.0816,-14.9757
105.138,45.2944,-7.52848
110.874,45.0954,-15.1046
123.255,44.9284,-27.4411
110.975,45.4712,-20.5307
106.66,44.6862,-23.4483
108.435,45.5033,-26.6579
95.3899,45.5584,-24.7275
95.0249,45.6512,-27.2382
96.3811,45.1954,-28.5176
94.8196,45.2924,-28.8383
94.9588,45.0556,-30.282
97.622,44.9534,-32.7
122.725,45.0177,-50.8054
120.966,45.448,-53.0366
122.861,45.4918,-58.588
125.948,45.3427,-64.798
125.553,45.2393,-68.5421
125.385,45.4923,-75.6027
133.504,45.6449,-72.6144
138.768,45.4764,-74.2946
134.142,45.5438,-83.5586
135.228,45.5924,-90.7989
140.44,45.3764,-96.6393
150.456,45.4481,-111.962
104.497,44.2649,-8.13379
110.041,44.297,-14.2843
109.987,44.3231,-19.9244
105.083,43.7214,-20.2479
104.791,44.2767,-23.4809
102.873,43.6365,-27.3396
154.873,45.4506,-51.6935
117.889,44.8019,-40.5812
99.3738,44.4495,-36.1196
101.555,43.9127,-39.7155
133.124,44.9907,-48.6527
103.654,43.783,-43.2151
105.709,43.7955,-47.0338
107.782,44.0017,-47.9496
107.884,44.274,-50.2152
119.859,44.0782,-52.4842
127.461,44.6438,-58.2655
136.88,45.1011,-58.3792
124.166,44.7723,-60.7502
137.012,45.135,-61.88
142.51,45.1895,-61.2525
128.801,44.771,-69.1741
132.853,44.6921,-79.5346
139.104,44.9279,-87.2151
139.793,44.7991,-93.9217
138.816,44.9777,-103.945
141.561,44.8253,-117.573
122.362,43.8804,-13.5939
119.945,43.6725,-14.4509
108.891,42.769,-12.853
106.875,43.329,-12.8863
121.747,43.3656,-25.9359
108.783,43.3894,-19.3015
103.251,42.8035,-17.0415
97.5106,42.8273,-17.929
89.6011,42.7043,-15.8195
95.5251,43.1001,-34.6165
96.0092,42.1676,-36.0039
128.009,44.1579,-45.9172
115.802,43.3707,-47.1293
112.424,43.5072,-56.5609
122.131,43.8326,-57.9542
120.223,43.9269,-62.0636
126.076,43.6442,-63.9641
123.987,43.9274,-67.0499
131.276,44.3242,-68.1738
121.289,44.0922,-80.0959
144.703,44.81,-89.084
144.909,44.7434,-124.027
119.33,42.5404,-14.0505
105.675,42.0892,-12.2328
101.381,41.7696,-13.3539
106.446,42.041,-18.1739
104.78,41.722,-17.7057
95.6015,40.7737,-16.6681
132.796,43.5473,-38.1366
81.6721,40.7503,-11.4692
98.8063,41.0944,-22.2068
